survey_date,country,pct_mask,pct_belief_masking_effective,pct_worried_catch_covid,pct_received_news_local_health,pct_received_news_experts,pct_received_news_who,pct_received_news_govt_health,pct_received_news_politicians,pct_received_news_journalists,pct_received_news_friends,pct_trust_covid_info_local_health,pct_trust_covid_info_experts,pct_trust_covid_info_who,pct_trust_covid_info_govt_health,pct_trust_covid_info_politicians,pct_trust_covid_info_journalists,pct_trust_covid_info_friends,total_tests,total_cases,total_deaths,new_cases_smoothed,new_deaths_smoothed,Facial Coverings,Containment health index (average),population
2020-04-23,Argentina,0.7873949579831933,,,,,,,,,,,,,,,,,51664.0,4066.0,279.0,153.714,10.571,3.0,86.31,45510324.0
2020-04-24,Argentina,0.7911392405063291,,,,,,,,,,,,,,,,,54971.0,4066.0,279.0,153.714,10.571,3.0,86.31,45510324.0
2020-04-25,Argentina,0.7687572143131974,,,,,,,,,,,,,,,,,57615.0,4066.0,279.0,153.714,10.571,3.0,86.31,45510324.0
2020-04-26,Argentina,0.789568345323741,,,,,,,,,,,,,,,,,59349.0,5464.0,411.0,199.714,18.857,3.0,85.12,45510324.0
2020-04-27,Argentina,0.7985133020344288,,,,,,,,,,,,,,,,,61587.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-04-28,Argentina,0.7853384777271133,,,,,,,,,,,,,,,,,64532.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-04-29,Argentina,0.7736905237904838,,,,,,,,,,,,,,,,,67633.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-04-30,Argentina,0.825925925925926,,,,,,,,,,,,,,,,,70494.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-05-01,Argentina,0.8034188034188035,,,,,,,,,,,,,,,,,73547.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-05-02,Argentina,0.803030303030303,,,,,,,,,,,,,,,,,75842.0,5464.0,411.0,199.714,18.857,3.0,79.17,45510324.0
2020-05-03,Argentina,0.8092382855873862,,,,,,,,,,,,,,,,,77974.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-04,Argentina,0.7923720171323679,,,,,,,,,,,,,,,,,80840.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-05,Argentina,0.8034078807241747,,,,,,,,,,,,,,,,,84904.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-06,Argentina,0.8031903874041848,,,,,,,,,,,,,,,,,88991.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-07,Argentina,0.8246126207051426,,,,,,,,,,,,,,,,,92921.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-08,Argentina,0.8353735753482482,,,,,,,,,,,,,,,,,96600.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-09,Argentina,0.8431460674157303,,,,,,,,,,,,,,,,,100197.0,6753.0,526.0,184.143,16.429,3.0,79.17,45510324.0
2020-05-10,Argentina,0.849813637360228,,,,,,,,,,,,,,,,,102481.0,8650.0,646.0,271.0,17.143,3.0,79.17,45510324.0
2020-05-11,Argentina,0.8346530041918957,,,,,,,,,,,,,,,,,106161.0,8650.0,646.0,271.0,17.143,3.0,82.74,45510324.0
2020-05-12,Argentina,0.8445928589776522,,,,,,,,,,,,,,,,,109937.0,8650.0,646.0,271.0,17.143,3.0,80.36,45510324.0
2020-05-13,Argentina,0.8514399771884802,,,,,,,,,,,,,,,,,114303.0,8650.0,646.0,271.0,17.143,3.0,80.36,45510324.0
2020-05-14,Argentina,0.8573258196721312,,,,,,,,,,,,,,,,,118520.0,8650.0,646.0,271.0,17.143,3.0,80.36,45510324.0
2020-05-15,Argentina,0.8588380716934487,,,,,,,,,,,,,,,,,122940.0,8650.0,646.0,271.0,17.143,3.0,80.36,45510324.0
2020-05-16,Argentina,0.8604540023894862,,,,,,,,,,,,,,,,,126702.0,8650.0,646.0,271.0,17.143,3.0,80.36,45510324.0
2020-05-17,Argentina,0.8564593301435407,,,,,,,,,,,,,,,,,129515.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-18,Argentina,0.8484112974404237,,,,,,,,,,,,,,,,,133661.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-19,Argentina,0.8655949988836794,,,,,,,,,,,,,,,,,139277.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-20,Argentina,0.8621489904850314,,,,,,,,,,,,,,,,,145156.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-21,Argentina,0.8591251175917215,,,,,,,,,,,,,,,,,151079.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-22,Argentina,0.8673067454455933,,,,,,,,,,,,,,,,,156782.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-23,Argentina,0.8606825619448341,,,,,,,,,,,,,,,,,161598.0,11560.0,790.0,415.714,20.571,3.0,80.36,45510324.0
2020-05-24,Argentina,0.8586448598130841,,,,,,,,,,,,,,,,,165328.0,16621.0,1009.0,723.0,31.286,3.0,80.36,45510324.0
2020-05-25,Argentina,0.8561020036429873,,,,,,,,,,,,,,,,,169502.0,16621.0,1009.0,723.0,31.286,3.0,80.36,45510324.0
2020-05-26,Argentina,0.8635346756152126,,,,,,,,,,,,,,,,,174456.0,16621.0,1009.0,723.0,31.286,3.0,80.36,45510324.0
2020-05-27,Argentina,0.8483714788732394,,,,,,,,,,,,,,,,,180439.0,16621.0,1009.0,723.0,31.286,3.0,80.36,45510324.0
2020-05-28,Argentina,0.8621575342465754,,,,,,,,,,,,,,,,,186459.0,16621.0,1009.0,723.0,31.286,3.0,80.36,45510324.0
